question,answer,expected_answer,score
Explain JWT,JWT is a token-based authentication mechanism using header payload signature to securely transmit information,JWT is a token-based authentication system using header payload signature for secure communication,90
Explain JWT,JWT is used for authentication in web apps,JWT is a token-based authentication system using header payload signature for secure communication,60
Explain JWT,JWT is something used in backend,I dont know JWT properly,20

Explain REST API,REST API follows stateless architecture and uses HTTP methods like GET POST PUT DELETE for communication,REST APIs are stateless services that use HTTP methods for client server communication,88
Explain REST API,API helps frontend and backend communicate,REST APIs are stateless services that use HTTP methods for client server communication,55
Explain REST API,REST API is just an API,I dont know REST API clearly,20

What is Authentication,Authentication is the process of verifying user identity using credentials like username and password,Authentication is the process of verifying identity of a user or system,90
What is Authentication,Authentication is login system,Authentication is the process of verifying identity of a user or system,55
What is Authentication,Authentication is security,I am not sure,25

What is Authorization,Authorization determines what actions a user is allowed to perform after authentication,Authorization is the process of granting access rights to resources,90
What is Authorization,Authorization is permissions,Authorization is the process of granting access rights to resources,60
What is Authorization,Authorization is like login,I am not sure,20

Explain OOP concepts,OOP includes concepts like encapsulation inheritance polymorphism and abstraction to design modular code,OOP is based on encapsulation inheritance polymorphism and abstraction,92
Explain OOP concepts,OOP means object oriented programming,OOP is based on encapsulation inheritance polymorphism and abstraction,55
Explain OOP concepts,OOP is coding style,I dont know properly,20

What is Database Indexing,Indexing improves database query performance by creating data structures that allow fast lookup,Database indexing improves query speed by using data structures like B-trees,90
What is Database Indexing,Indexing makes database fast,Database indexing improves query speed by using data structures like B-trees,60
What is Database Indexing,Indexing is something in DB,I dont know,25

What is Normalization,Normalization organizes database to reduce redundancy and improve data integrity,Normalization is the process of structuring database to reduce redundancy,88
What is Normalization,Normalization removes duplicate data,Normalization is the process of structuring database to reduce redundancy,60
What is Normalization,Normalization is cleaning data,I dont know,25

Explain HTTP methods,HTTP methods include GET POST PUT DELETE PATCH used to perform CRUD operations,HTTP methods define actions like GET POST PUT DELETE in web communication,90
Explain HTTP methods,GET and POST are HTTP methods,HTTP methods define actions like GET POST PUT DELETE in web communication,60
Explain HTTP methods,HTTP methods are something in API,I dont know,20

What is Microservices,Microservices architecture breaks application into small independent services that communicate via APIs,Microservices is an architecture where application is divided into small independent services,90
What is Microservices,Microservices are small services,Microservices is an architecture where application is divided into small independent services,55
What is Microservices,Microservices is like modules,I dont know properly,25

Explain Load Balancing,Load balancing distributes incoming traffic across multiple servers to ensure reliability and performance,Load balancing distributes traffic across servers to optimize performance and availability,90
Explain Load Balancing,Load balancing manages traffic,Load balancing distributes traffic across servers to optimize performance and availability,60
Explain Load Balancing,Load balancing is networking,I dont know,25

question,answer,expected_answer,score
What is Caching,Caching stores frequently accessed data in memory to reduce database load and improve performance,Caching is a technique to store frequently used data in fast storage to improve performance,90
What is Caching,Caching makes system faster by storing data,Caching is a technique to store frequently used data in fast storage to improve performance,60
What is Caching,Caching is something related to memory,I dont know,20

Explain Rate Limiting,Rate limiting restricts number of requests a user can make in a given time to prevent abuse,Rate limiting controls the number of requests to prevent system overload,90
Explain Rate Limiting,Rate limiting limits requests,Rate limiting controls the number of requests to prevent system overload,60
Explain Rate Limiting,Rate limiting is security,I am not sure,25

What is CAP Theorem,CAP theorem states that a distributed system can provide only two of consistency availability and partition tolerance at a time,CAP theorem defines trade-offs between consistency availability and partition tolerance,92
What is CAP Theorem,CAP theorem has consistency and availability,CAP theorem defines trade-offs between consistency availability and partition tolerance,55
What is CAP Theorem,CAP theorem is database concept,I dont know properly,25

What is Sharding,Sharding splits database into smaller parts across multiple servers to improve scalability,Sharding is a method of partitioning database into smaller chunks across servers,90
What is Sharding,Sharding divides data,Sharding is a method of partitioning database into smaller chunks across servers,60
What is Sharding,Sharding is something in DB,I dont know,20

Explain BFS,BFS is a graph traversal algorithm that explores nodes level by level using a queue,BFS is a traversal algorithm that visits nodes level wise using queue,90
Explain BFS,BFS is used in graphs,BFS is a traversal algorithm that visits nodes level wise using queue,55
Explain BFS,BFS is algorithm,I dont know properly,20

Explain DFS,DFS is a graph traversal algorithm that explores as far as possible before backtracking using stack or recursion,DFS is a traversal algorithm that goes deep into graph before backtracking,90
Explain DFS,DFS is graph traversal,DFS is a traversal algorithm that goes deep into graph before backtracking,55
Explain DFS,DFS is algorithm,I am not sure,20

What is Time Complexity,Time complexity measures how execution time grows with input size using Big O notation,Time complexity describes growth of algorithm runtime with input size,90
What is Time Complexity,Time complexity is Big O,Time complexity describes growth of algorithm runtime with input size,60
What is Time Complexity,Time complexity is speed,I dont know,20

What is Space Complexity,Space complexity measures memory usage of an algorithm relative to input size,Space complexity defines memory usage based on input size,90
What is Space Complexity,Space complexity is memory,Space complexity defines memory usage based on input size,60
What is Space Complexity,Space complexity is storage,I am not sure,25

What is Hashing,Hashing maps data to fixed size values using hash functions for fast lookup,Hashing is a technique to map keys to values using hash functions,90
What is Hashing,Hashing stores data fast,Hashing is a technique to map keys to values using hash functions,55
What is Hashing,Hashing is algorithm,I dont know properly,20

Explain ACID properties,ACID includes atomicity consistency isolation durability ensuring reliable database transactions,ACID properties ensure reliable transactions with atomicity consistency isolation durability,92
Explain ACID properties,ACID is database concept,ACID properties ensure reliable transactions with atomicity consistency isolation durability,55
Explain ACID properties,ACID is something in DB,I dont know,25


question,answer,expected_answer,score
